City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Edson,53.5835,-116.4356,62.74,31,0,3.44,CA,1651620093
Waingapu,-9.6567,120.2641,79.7,81,100,8.46,ID,1651620292
Cidreira,-30.1811,-50.2056,64.51,91,100,19.51,BR,1651620293
Katsuura,35.1333,140.3,64.62,60,0,15.61,JP,1651620293
Kontagora,10.3999,5.4695,79.52,61,69,8.72,NG,1651620293
Thompson,55.7435,-97.8558,33.96,51,20,6.91,CA,1651620092
Tiksi,71.6872,128.8694,13.17,91,64,4.14,RU,1651619995
Ngunguru,-35.6167,174.5,65.61,79,91,13.8,NZ,1651620294
Nome,64.5011,-165.4064,33.17,47,0,10.36,US,1651620200
Medicine Hat,50.0501,-110.6683,70.21,25,75,4.61,CA,1651620294
Remolino,10.702,-74.716,82.56,75,100,10.22,CO,1651620295
Fortuna,40.5982,-124.1573,64.85,69,0,19.57,US,1651620295
Lerwick,60.1545,-1.1494,44.6,93,100,16.8,GB,1651620296
Kapaa,22.0752,-159.319,80.58,76,75,14.97,US,1651620296
Kavaratti,10.5669,72.642,84.69,70,83,7.56,IN,1651620296
Birin,26.8865,88.0718,57.0,89,28,3.56,NP,1651620297
Khatanga,71.9667,102.5,16.99,92,100,6.42,RU,1651620297
Biltine,14.5333,20.9167,89.87,25,44,4.63,TD,1651620298
Āsosa,10.0667,34.5333,65.46,79,97,2.66,ET,1651620298
Leningradskiy,69.3833,178.4167,20.35,84,63,6.8,RU,1651620298
Ponta do Sol,32.6667,-17.1,63.23,49,26,8.19,PT,1651620299
Grand-Santi,4.25,-54.3833,73.71,99,100,1.97,GF,1651620299
Assiniboia,49.6334,-105.9845,62.42,20,80,9.22,CA,1651620217
Bundaberg,-24.85,152.35,76.21,78,33,9.22,AU,1651620300
Sørland,67.667,12.6934,34.88,59,100,6.51,NO,1651620300
Karratha,-20.7377,116.8463,78.93,48,0,11.16,AU,1651620301
San Quintín,30.4833,-115.95,62.91,67,53,15.48,MX,1651620301
Djibo,14.1022,-1.6306,89.91,14,62,4.88,BF,1651620302
Jamestown,42.097,-79.2353,62.19,89,100,9.22,US,1651620303
Port Keats,-14.25,129.55,78.28,57,0,7.78,AU,1651620303
Kapit,2.0167,112.9333,74.62,98,89,0.6,MY,1651620304
New Norfolk,-42.7826,147.0587,55.65,85,100,1.01,AU,1651620304
Saint-Philippe,-21.3585,55.7679,70.21,85,48,11.48,RE,1651620305
Margate,51.3813,1.3862,50.31,80,37,1.01,GB,1651620029
Albany,42.6001,-73.9662,59.88,67,100,3.0,US,1651620065
Juneau,58.3019,-134.4197,44.6,98,100,19.57,US,1651620109
Oktyabr'skoye,43.0645,44.7417,46.54,100,95,2.24,RU,1651620305
Nikolskoye,59.7035,30.7861,39.09,71,50,7.38,RU,1651620306
Menongue,-14.6585,17.691,60.82,64,29,4.76,AO,1651620306
Ostrovnoy,68.0531,39.5131,26.29,65,100,16.84,RU,1651620307
Alofi,-19.0595,-169.9187,80.49,65,40,10.36,NU,1651620307
Codrington,-38.2667,141.9667,53.17,77,95,10.0,AU,1651620308
Egvekinot,66.3167,-179.1667,19.53,77,16,12.95,RU,1651620308
Sabalgarh,26.25,77.4,85.82,17,0,4.29,IN,1651620308
Talnakh,69.4865,88.3972,15.21,95,100,5.06,RU,1651620309
Dikson,73.5069,80.5464,-2.33,99,66,3.6,RU,1651620309
Lompoc,34.6391,-120.4579,78.69,56,0,25.01,US,1651620018
Aykhal,66.0,111.5,24.08,96,100,13.73,RU,1651620310
Kautokeino,69.0125,23.0412,16.99,83,52,10.27,NO,1651620310
Yelizovo,53.1873,158.3805,37.54,64,75,2.24,RU,1651620311
Pangnirtung,66.1451,-65.7125,13.12,99,99,2.17,CA,1651620311
Griffith,41.5284,-87.4237,46.4,95,100,17.27,US,1651620082
Santa Maria,-29.6842,-53.8069,58.3,94,100,10.36,BR,1651620312
Imbituba,-28.24,-48.6703,64.85,97,100,14.12,BR,1651620127
Lexington Park,38.2668,-76.4538,66.06,84,40,10.36,US,1651620312
Vila,42.0304,-8.1588,47.7,80,5,4.97,PT,1651620313
Qandala,11.472,49.8728,86.83,56,17,1.61,SO,1651620313
Lüderitz,-26.6481,15.1594,66.67,52,0,9.13,NA,1651620313
Mezen',65.8522,44.24,28.94,93,100,8.57,RU,1651620314
Bredasdorp,-34.5322,20.0403,59.99,98,20,3.09,ZA,1651620314
Caluquembe,-13.7833,14.6833,54.52,65,2,3.04,AO,1651620315
Brae,60.3964,-1.353,44.76,93,100,14.85,GB,1651620315
Vernon,50.2581,-119.2691,72.93,27,100,3.44,CA,1651620250
Loíza,18.4313,-65.8802,80.64,86,75,12.66,PR,1651620316
Voyvozh,62.892,54.9635,34.7,99,100,5.64,RU,1651620316
Black River,18.0264,-77.8487,82.74,70,4,14.56,JM,1651620316
Dickinson,29.4608,-95.0513,85.12,76,40,16.11,US,1651620317
Mehamn,71.0357,27.8492,25.54,72,100,22.17,NO,1651620317
Březová,50.1456,12.65,50.07,84,0,2.3,CZ,1651620318
Yining,29.0361,114.5636,62.19,74,70,1.16,CN,1651620318
Arraial do Cabo,-22.9661,-42.0278,76.96,83,20,10.36,BR,1651620318
Castro,-24.7911,-50.0119,62.4,93,100,9.64,BR,1651620319
Sioux Lookout,50.1001,-91.917,44.67,45,20,5.75,CA,1651620319
Luganville,-15.5333,167.1667,84.56,70,29,5.23,VU,1651620320
São Filipe,14.8961,-24.4956,72.37,80,1,7.38,CV,1651620320
Aksu,41.1231,80.2644,66.67,18,8,3.74,CN,1651620320
Avera,33.194,-82.5271,86.05,52,69,5.93,US,1651620321
Saskylakh,71.9167,114.0833,18.7,93,95,7.58,RU,1651620321
Souillac,-20.5167,57.5167,75.58,88,75,8.05,MU,1651620322
Esperance,-33.8667,121.9,53.44,64,99,13.58,AU,1651620322
Chui,-33.6971,-53.4616,55.99,79,13,6.71,UY,1651620323
Çermik,38.1361,39.4493,54.63,92,33,4.27,TR,1651620323
Coyhaique,-45.5752,-72.0662,48.15,87,100,6.91,CL,1651620189
Paamiut,61.994,-49.6678,31.3,97,100,8.16,GL,1651620323
Hamilton,39.1834,-84.5333,75.15,79,20,11.5,US,1651620082
Provideniya,64.3833,-173.3,14.36,73,75,13.42,RU,1651620324
Msanga,-6.05,36.0333,62.22,85,55,4.18,TZ,1651620324
Neiafu,-18.65,-173.9833,83.08,65,75,5.75,TO,1651620325
Port Elizabeth,-33.918,25.5701,64.69,94,0,9.22,ZA,1651620196
Tuxpan,19.55,-103.4,80.37,22,97,9.95,MX,1651620054
Atar,20.5169,-13.0499,84.38,13,0,3.38,MR,1651620325
Torbay,47.6666,-52.7314,42.28,87,75,10.36,CA,1651620326
Cabo San Lucas,22.8909,-109.9124,85.6,30,0,9.22,MX,1651620175
Eyl,7.9803,49.8164,84.02,77,30,9.8,SO,1651620326
Vila Velha,-20.3297,-40.2925,80.55,81,0,12.66,BR,1651620327
Tezu,27.9167,96.1667,69.04,80,100,1.03,IN,1651620074
Poum,-20.2333,164.0167,78.62,77,2,11.74,NC,1651620327
Ginir,7.1333,40.7,57.76,85,84,3.2,ET,1651620328
Adzopé,6.1069,-3.8619,76.03,90,99,1.92,CI,1651620328
College,64.8569,-147.8028,56.08,40,75,6.91,US,1651620329
Udachny,66.4167,112.4,26.46,62,100,14.85,RU,1651620329
Whitehorse,60.7161,-135.0538,49.01,40,75,23.02,CA,1651620329
Moree,-29.4667,149.85,68.02,60,2,13.8,AU,1651620330
Longyearbyen,78.2186,15.6401,12.04,67,20,2.3,SJ,1651620330
Bethel,41.3712,-73.414,55.49,79,75,3.44,US,1651620331
Tazovsky,67.4667,78.7,21.85,96,100,9.8,RU,1651620331
Fairbanks,64.8378,-147.7164,56.08,39,100,6.91,US,1651620302
Upernavik,72.7868,-56.1549,7.68,94,11,7.76,GL,1651620332
Sweetwater,25.7634,-80.3731,80.62,77,75,10.36,US,1651620332
Naze,28.3667,129.4833,68.92,59,96,11.45,JP,1651620332
Balabac,7.9868,117.0645,82.4,77,99,6.11,PH,1651620333
Tucumã,-0.1833,-50.05,74.88,96,100,7.47,BR,1651620312
Ovsyanka,55.9575,92.5519,34.77,84,24,10.89,RU,1651620334
Isangel,-19.55,169.2667,81.45,76,13,4.25,VU,1651620334
Shingū,33.7333,135.9833,63.23,46,18,0.72,JP,1651620334
West Fargo,46.875,-96.9004,56.01,52,0,8.05,US,1651620335
Toyooka,35.5333,134.8333,63.0,50,0,5.32,JP,1651620335
Am Timan,11.0297,20.2827,84.52,50,91,7.78,TD,1651620336
Hoghiz,45.9833,25.3,47.35,78,100,2.89,RO,1651620336
Beloha,-25.1667,45.05,66.54,84,0,11.1,MG,1651620337
Noyabrsk,63.1994,75.4507,28.47,77,94,21.03,RU,1651620337
Tilichiki,60.4667,166.1,29.34,86,26,6.4,RU,1651620337
George Town,5.4112,100.3354,80.53,98,20,3.44,MY,1651620276
Poya,-21.35,165.15,80.08,77,69,9.73,NC,1651620338
Inuvik,68.3499,-133.7218,32.76,86,100,9.22,CA,1651620338
Constitución,-35.3333,-72.4167,57.43,74,9,9.86,CL,1651620056
Oppdal,62.5943,9.6912,20.25,90,94,6.38,NO,1651620339
Terney,45.0503,136.6092,45.88,73,30,6.08,RU,1651620339
Kahului,20.8947,-156.47,78.82,70,40,20.71,US,1651620340
San Juan,-31.5375,-68.5364,64.72,26,0,5.23,AR,1651620326
Mackay,-21.15,149.2,77.68,78,83,11.5,AU,1651620276
Port Hedland,-20.3167,118.5667,78.85,53,2,12.66,AU,1651620340
Nipawin,53.3668,-104.0009,44.64,76,100,19.57,CA,1651620276
Deneysville,-26.8908,28.0971,52.39,48,0,2.75,ZA,1651620341
Jiwani,25.05,61.7417,81.93,70,0,13.29,PK,1651620341
Lorengau,-2.0226,147.2712,83.61,79,90,5.93,PG,1651620342
Berbera,10.4396,45.0143,85.39,73,2,2.98,SO,1651620342
Alta Floresta,-9.8756,-56.0861,73.71,93,47,2.53,BR,1651620342
Oussouye,12.485,-16.5469,71.78,70,91,7.87,SN,1651620343
Xi'an,34.2583,108.9286,58.01,47,8,2.73,CN,1651620343
Elyakhin,32.4079,34.9243,68.07,91,16,13.6,IL,1651620344
The Pas,53.8251,-101.2541,37.42,75,100,6.91,CA,1651620344
Pevek,69.7008,170.3133,23.05,86,86,4.88,RU,1651620344
Kimbe,-5.5502,150.1429,84.76,71,15,0.47,PG,1651620345
Erdenet,49.0333,104.0833,47.21,84,100,2.21,MN,1651620345
Tottori-shi,35.5,134.2333,64.47,39,0,10.36,JP,1651620346
Shitanjing,39.2342,106.3439,62.73,8,35,7.18,CN,1651620346
Junín,-34.5838,-60.9433,52.56,53,0,4.7,AR,1651620254
Vao,-22.6667,167.4833,75.69,77,85,22.44,NC,1651620347
Yulara,-25.2406,130.9889,64.24,45,0,13.8,AU,1651620347
Bogorodskoye,56.55,37.8833,42.19,73,100,9.31,RU,1651620347
Berlevåg,70.8578,29.0864,24.6,80,100,23.33,NO,1651620348
Yar-Sale,66.8333,70.8333,34.39,99,100,14.23,RU,1651620348
Prince Rupert,54.3161,-130.3201,44.69,93,100,11.5,CA,1651620216
Hendek,40.7994,30.7481,50.18,98,97,2.73,TR,1651620349
Kavieng,-2.5744,150.7967,83.37,77,83,7.94,PG,1651620349
Severo-Yeniseyskiy,60.3725,93.0408,26.15,96,82,6.53,RU,1651620350
Marinette,45.1,-87.6307,48.25,66,0,17.27,US,1651620299
Faanui,-16.4833,-151.75,81.32,76,74,12.19,PF,1651620350
Hong Kong,22.2855,114.1577,76.24,66,60,5.99,HK,1651620258
Saint Anthony,45.0205,-93.218,59.94,41,0,11.5,US,1651620094
Bambous Virieux,-20.3428,57.7575,75.45,88,75,8.05,MU,1651620351
Wanning,18.8003,110.3967,70.05,84,99,9.84,CN,1651620351
Maceió,-9.6658,-35.7353,78.24,94,40,2.3,BR,1651620219
Taunggyi,20.7833,97.0333,62.29,87,98,2.75,MM,1651620352
Yellowknife,62.456,-114.3525,45.12,49,20,19.57,CA,1651620176
Smirnykh,49.75,142.8333,36.48,88,91,6.98,RU,1651620352
Petatlán,17.5167,-101.2667,85.8,44,91,7.31,MX,1651620352
Keetmanshoop,-26.5833,18.1333,68.67,32,40,11.83,NA,1651620353
Ixtapa,20.7,-105.2,79.23,73,75,12.66,MX,1651620353
Huicheng,23.0385,116.2899,66.29,78,89,6.62,CN,1651620354
Trairi,-3.2778,-39.2689,79.29,87,100,8.9,BR,1651620354
Russell,32.3502,-85.1999,84.96,56,0,5.75,US,1651620248
Rio Grande,-32.035,-52.0986,61.95,82,100,16.6,BR,1651620355
Kyren,51.6828,102.1408,43.39,91,100,3.74,RU,1651620355
Tabou,4.423,-7.3528,81.07,79,5,6.11,CI,1651620356
Yārāda,17.65,83.2667,82.72,89,75,2.3,IN,1651620356
Jand,33.4299,72.0193,75.83,47,45,14.97,PK,1651620356
Pisco,-13.7,-76.2167,68.05,73,0,13.8,PE,1651620299
Khāpa,21.4333,78.9667,82.35,39,47,12.75,IN,1651620357
Saint-Joseph,-21.3667,55.6167,69.21,84,23,11.72,RE,1651620357
Mossamedes,-15.1961,12.1522,75.79,70,62,0.87,AO,1651620307
Hambantota,6.1241,81.1185,80.08,87,98,12.28,LK,1651620358
Santo Antônio do Içá,-3.1022,-67.9397,77.14,88,93,2.3,BR,1651620358
Abu Dhabi,24.4667,54.3667,82.42,53,0,5.75,AE,1651620116
Port Macquarie,-31.4333,152.9167,69.89,77,13,5.39,AU,1651620359
Zabid,14.1951,43.3152,86.02,55,10,4.14,YE,1651620359
Opatija,45.3392,14.3083,59.0,75,76,4.23,HR,1651620360
Marfino,55.7028,37.3822,48.11,62,0,4.47,RU,1651620360
Petropavlovsk-Kamchatskiy,53.0452,158.6483,36.19,65,75,2.24,RU,1651620361
Jaguaruna,-28.615,-49.0256,63.25,96,100,11.16,BR,1651620361
Sapozhok,53.9419,40.6806,50.02,88,99,9.84,RU,1651620361
Nuuk,64.1835,-51.7216,21.81,93,75,10.36,GL,1651620246
Minamiashigara,35.3193,139.099,65.52,54,0,2.66,JP,1651620362
Poso,-1.3959,120.7524,79.7,81,96,2.82,ID,1651620362
Manokwari,-0.8667,134.0833,80.83,77,99,1.74,ID,1651620363
Khovd,48.0056,91.6419,53.01,58,73,4.63,MN,1651620363
Mount Isa,-20.7333,139.5,74.97,29,0,11.5,AU,1651620364
Maningrida,-12.0667,134.2667,80.35,77,60,10.16,AU,1651620364
Adrar,20.5022,-10.0711,85.14,15,72,8.95,MR,1651620365
Broome,42.2506,-75.833,66.67,62,0,16.11,US,1651620365
Forestville,38.8451,-76.875,71.65,69,0,13.8,US,1651620365
Desna,50.9273,30.7605,50.94,82,76,6.73,UA,1651620366
Juegang,32.3174,121.1855,63.91,70,33,9.75,CN,1651620366
Portland,45.5234,-122.6762,64.83,61,75,4.61,US,1651619541
Montluçon,46.3333,2.6,52.7,89,24,2.04,FR,1651620367
Rawson,-43.3002,-65.1023,64.44,41,100,16.64,AR,1651620367
Yantal',56.8471,105.2542,34.47,79,49,9.64,RU,1651620368
Mahébourg,-20.4081,57.7,75.49,88,75,8.05,MU,1651620368
Bagotville,-28.9833,153.4167,67.82,99,45,3.58,AU,1651620369
Grindavik,63.8424,-22.4338,37.35,80,75,17.27,IS,1651620369
Makakilo City,21.3469,-158.0858,80.92,66,75,19.57,US,1651620369
Baykit,61.67,96.37,30.25,88,100,11.61,RU,1651620370
Kenora,49.8167,-94.4337,50.97,40,20,4.61,CA,1651620280
Katangli,51.7102,143.2326,31.84,100,99,9.93,RU,1651620370
Ahipara,-35.1667,173.1667,67.46,65,53,8.57,NZ,1651620190
Caravelas,-17.7125,-39.2481,74.01,81,0,6.35,BR,1651620371
Huarmey,-10.0681,-78.1522,67.8,81,28,7.56,PE,1651620371
Alugan,12.2188,125.4808,81.91,73,78,10.45,PH,1651620372
Bairiki Village,1.3292,172.9752,81.03,75,14,11.63,KI,1651620372
Oranjemund,-28.55,16.4333,55.99,88,4,3.56,NA,1651620372
Saldanha,-33.0117,17.9442,51.85,91,19,5.3,ZA,1651620373
Maraã,-1.8333,-65.3667,75.87,95,55,2.37,BR,1651620373
Pañgobilian,8.8011,117.8594,80.04,83,51,4.83,PH,1651620374
Saint Paul Harbor,57.79,-152.4072,45.91,76,100,11.5,US,1651620374
Vestmanna,62.1564,-7.1664,45.52,100,100,8.05,FO,1651620375
Bima,-8.4667,118.7167,78.33,92,73,4.09,ID,1651620375
Écublens,46.529,6.5626,55.62,73,51,2.19,CH,1651620376
Kaeo,-35.1,173.7833,68.32,84,52,11.9,NZ,1651620376
Bilma,18.6853,12.9164,88.36,14,3,10.76,NE,1651620376
Krasnosel'kup,65.7,82.4667,25.2,84,98,23.09,RU,1651620377
Laas,46.6166,10.7002,46.36,96,99,2.08,IT,1651620377
El Alto,-4.2714,-81.2147,69.46,75,21,16.02,PE,1651620378
Shar,49.5886,81.0453,42.01,41,100,10.47,KZ,1651620378
Bereda,43.2686,-7.5406,53.42,99,75,7.11,ES,1651620378
Lavrentiya,65.5833,-171.0,16.99,72,42,6.33,RU,1651620379
Dorolţ,47.85,22.8167,48.22,94,67,5.75,RO,1651620379
Corinth,37.9407,22.9573,59.41,80,67,2.04,GR,1651620380
Mitsamiouli,-11.3847,43.2844,80.31,76,66,5.01,KM,1651620380
Semporna,4.4818,118.6112,80.56,86,99,5.3,MY,1651620381
Langsa,4.4683,97.9683,75.15,94,100,1.72,ID,1651620381
Dvinskoy,62.1535,45.1175,33.06,87,19,7.76,RU,1651620382
Falam,22.9167,93.6833,58.98,94,99,1.39,MM,1651620382
Kamaishi,39.2667,141.8833,54.28,49,84,14.27,JP,1651620383
Kattivākkam,13.2167,80.3167,86.09,84,86,10.11,IN,1651620383
Faya,18.3851,42.4509,64.51,48,14,6.6,SA,1651620383
Sterling,39.0062,-77.4286,70.93,74,40,9.22,US,1651620330
Samarai,-10.6167,150.6667,82.81,73,12,5.39,PG,1651620384
Shubarkuduk,49.1447,56.4872,50.81,66,100,13.98,KZ,1651620384
Ilulissat,69.2167,-51.1,26.62,80,100,8.05,GL,1651620385
Vardø,70.3705,31.1107,26.22,72,76,20.51,NO,1651620385
Antofagasta,-23.65,-70.4,60.08,84,33,3.29,CL,1651620386
Río Gallegos,-51.6226,-69.2181,44.65,61,0,26.46,AR,1651620386
La Ciotat,43.1748,5.6045,57.56,88,100,1.54,FR,1651620387
Sühbaatar,50.2314,106.2078,50.47,59,100,10.04,MN,1651620387
Laguna,38.421,-121.4238,83.1,22,0,11.5,US,1651620387
Kolokani,13.5728,-8.0339,87.3,40,98,6.82,ML,1651620388
Ilebo,-4.3167,20.5833,71.28,94,37,1.81,CD,1651620388
Teknāf,20.8624,92.3058,78.93,86,15,4.83,BD,1651620389
Le Vauclin,14.5452,-60.8388,80.65,78,75,9.22,MQ,1651620389
Kulim,5.365,100.5618,80.13,93,100,3.13,MY,1651620390
Rantepao,-2.9701,119.8978,69.19,96,100,1.61,ID,1651620390
Camaná,-16.6228,-72.7111,66.72,85,94,7.07,PE,1651620390
Nantucket,41.2835,-70.0995,53.71,75,100,8.05,US,1651620282
Bengkulu,-3.8004,102.2655,75.79,89,100,4.99,ID,1651620391
Sikandrabad,28.45,77.7,84.87,42,0,4.99,IN,1651620392
Balaipungut,1.05,101.2833,74.52,99,100,2.3,ID,1651620392
Bitung,1.4451,125.1824,81.45,79,94,0.36,ID,1651620393
Catuday,16.2923,119.8062,80.78,74,67,6.29,PH,1651620393
Bonfim,3.0833,-59.95,81.61,64,94,7.83,BR,1651620393
Esna,25.2934,32.554,86.02,19,14,11.43,EG,1651620394
Tiarei,-17.5333,-149.3333,82.42,78,50,12.84,PF,1651620194
Havelock,34.8791,-76.9013,80.56,84,0,14.97,US,1651620394
Arlit,18.7369,7.3853,88.07,10,59,11.88,NE,1651620395
Lincoln,40.8,-96.667,55.15,64,75,9.22,US,1651620377
Turukhansk,65.8167,87.9833,21.02,94,71,7.7,RU,1651620395
Zhigansk,66.7697,123.3711,15.62,89,38,4.61,RU,1651620396
Half Moon Bay,37.4636,-122.4286,84.54,55,0,21.85,US,1651620396
Vilyuysk,63.7553,121.6247,27.73,77,100,11.16,RU,1651620397
Khandyga,62.6667,135.6,34.5,85,100,4.72,RU,1651620397
Gamba,-2.65,10.0,77.61,92,100,5.12,GA,1651620398
Vila Franca do Campo,37.7167,-25.4333,64.2,79,100,3.49,PT,1651620322
Dudinka,69.4058,86.1778,15.62,96,100,7.07,RU,1651620398
Te Anau,-45.4167,167.7167,55.9,70,64,0.83,NZ,1651620399
Ternate,0.8,127.4,82.13,77,67,2.98,ID,1651620399
Riberalta,-10.9833,-66.1,79.0,89,100,0.0,BO,1651620399
Aksarayskiy,46.7924,48.0119,54.25,32,11,6.62,RU,1651620400
Vanderhoof,54.0166,-124.0198,53.56,51,100,6.42,CA,1651620400
Oga,46.4631,10.347,42.69,96,100,1.81,IT,1651620401
Paka,4.6374,103.4368,80.53,94,40,0.0,MY,1651620401
Maicao,11.3832,-72.2432,83.26,65,77,18.52,CO,1651620401
Galle,6.0367,80.217,80.83,84,91,8.52,LK,1651620402
Northam,51.0333,-4.2167,50.61,94,86,4.81,GB,1651620402
Polyarny,69.1989,33.4478,26.29,62,70,23.24,RU,1651620403
Ust-Nera,64.5667,143.2,29.39,87,68,3.96,RU,1651620403
Jalu,29.0331,21.5482,64.17,46,1,9.4,LY,1651620403
Pahrump,36.2083,-115.9839,79.25,10,0,8.99,US,1651620404
Keflavik,64.0049,-22.5624,37.31,80,75,17.27,IS,1651620404
Sawākin,19.1059,37.3321,83.86,57,0,2.33,SD,1651620405
